dataset	sample_id	cancer	pathway	receiver_compartment	target_genes_in_panel	target_genes_detected	target_genes_detected_list	receiver_spots	receiver_target_mean	other_compartment_target_mean	receiver_target_enrichment	receiver_target_positive_spot_fraction	receiver_target_percentile	target_activation_support	matrix_rows	matrix_cols	matrix_nnz
GSE300445	GSM9060733_AdjIII-0022	melanoma	MIF	tumor_like	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	367	4.0844687	3.1762417	1.2859439	0.98365123	1	1	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	MIF	immune	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	0	0	3.2960115	3.03397e-10	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	MIF	stroma_fibroblast	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	1687	3.1621814	3.5020073	0.90296253	0.85358625	0.6	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	MIF	endothelial	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	0	0	3.2960115	3.03397e-10	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	MIF	ambiguous_or_low_signal	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	729	3.2087791	3.3269718	0.96447442	0.97942387	0.8	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	NOTCH	tumor_like	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	367	3.7520436	1.9097682	1.9646592	0.99455041	1	1	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	NOTCH	immune	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	0	0	2.1527129	4.6453013e-10	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	NOTCH	stroma_fibroblast	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	1687	1.4941147	3.1664494	0.47185805	0.84173088	0.6	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	NOTCH	endothelial	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	0	0	2.1527129	4.6453013e-10	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	NOTCH	ambiguous_or_low_signal	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	729	2.8716441	1.8975518	1.5133416	0.98216735	0.8	1	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	SPP1	tumor_like	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	367	20.766576	11.585955	1.7923923	0.9972752	1	1	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	SPP1	immune	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	0	0	12.796622	7.8145621e-11	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	SPP1	stroma_fibroblast	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1687	8.8607983	18.854775	0.46994983	0.96858328	0.6	0	18085	2783	18900716
