method	dataset	sample_id	cancer	platform	sender_compartment	receiver_compartment	ligand	receptor	pathway	lr_means	cellphone_pvals	ligand_props	receptor_props
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	stroma_fibroblast	EGF	EGFR	EGF/ERBB	0.11627614331836728	0.67	0.08620689655172414	0.1070811744386874
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	EGF	EGFR	EGF/ERBB	0.11620004740072173	1.0	0.10122358175750834	0.08898776418242492
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	ambiguous_or_low_signal	CCL2	CCR2	CCL chemokine	0.11554123858280671	0.61	0.06896551724137931	0.0867630700778643
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	stroma_fibroblast	HBEGF	EGFR	EGF/ERBB	0.11542554907146824	0.2	0.125	0.1070811744386874
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	stroma_fibroblast	EGF	EGFR	EGF/ERBB	0.11495409996245368	1.0	0.10122358175750834	0.1070811744386874
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	endothelial	TGFB1	TGFBR1	TGFB	0.1144509038182307	1.0	0.12235817575083426	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	tumor_like	DLL4	NOTCH1	NOTCH	0.11399686865590769	1.0	0.05728587319243604	0.17266187050359713
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	immune	DLL4	NOTCH1	NOTCH	0.113061545416891	1.0	0.05728587319243604	0.125
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	tumor_like	DLL4	NOTCH1	NOTCH	0.11253932358108037	1.0	0.08316546762589928	0.17266187050359713
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	ambiguous_or_low_signal	HBEGF	EGFR	EGF/ERBB	0.11247179822506949	0.16	0.13644214162348878	0.08898776418242492
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	stroma_fibroblast	CCL2	CCR2	CCL chemokine	0.1124627161436946	1.0	0.11453237410071943	0.1084628670120898
