dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	v3_score	dataset_recurrence_n	cellchat_supported	cellchat_probability	cellchat_p_value	target_supported	receiver_target_enrichment	receiver_target_percentile	target_genes_detected	joint_cellchat_target_support	evidence_category	public_top40_checked	public_evidence_grade	public_manual_review_category	public_source_ids	same_cancer_axis_evidence	interpretation_boundary
GSE292299	GSM8855705_NSCLC_P3	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.932958	16	1	0.15118845868961	0.0	0	1.2159256	1.0	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855705_NSCLC_P3	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.932567	15	1	0.0946207818787609	0.0	0	0.98170394	0.6	5	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855705_NSCLC_P3	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.932496	15	1	0.126750911190154	0.0	0	1.2159256	1.0	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655158_P04	colorectal cancer	tumor_like	tumor_like	SPP1	CD44	SPP1	0.931182	11	1	0.0630061772010653	0.0	0	1.1221923	0.8	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655166_P17	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.930507	11	1	0.0702080215613542	0.0	0	0.894113	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855703_NSCLC_P1	NSCLC	immune	immune	SPP1	CD44	SPP1	0.93033	14	1	0.0738612871501158	0.0	0	0.94443651	0.8	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855708_NSCLC_P6	NSCLC	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.92685	15	1	0.00556493815976664	0.0	0	0.44530525	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060735_AdjIII-0133	melanoma	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.926601	4	1	0.00237717390085722	0.0	0	0.38243273	0.6	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.926424	4	1	0.00211582844505192	0.0	0	0.35462798	0.4	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655160_P07	colorectal cancer	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.925926	11	1	0.00498580196685666	0.0	0	0.91413588	0.8	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655159_P05	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.925811	11	1	0.0376268510634261	0.0	0	0.67655577	0.8	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855709_NSCLC_P7	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.925536	17	1	0.0184306584770511	0.0	0	0.94410422	0.8	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.925323	4	1	0.00211582844505192	0.0	0	0.35462798	0.4	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855708_NSCLC_P6	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.922735	17	1	0.0624570218792583	0.0	0	1.1320639	1.0	7	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655158_P04	colorectal cancer	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.921239	11	1	0.0297157852970491	0.0	0	1.1221923	0.8	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.918398	12	0	0.0	1.0	1	3.3888566	1.0	6	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655166_P17	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.918327	12	0	0.0	1.0	1	3.7384242	1.0	9	0	target_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
