variant	rank_in_variant	candidate_id	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	full_v3	confidence_tier_pilot_v3	all_null_gates	both_external	target_activation_support	no_null	no_external	no_recurrence	no_raw_score	no_annotation	equal_weight
equal_weight	26	GSE292299|GSM8855717_NSCLC_P15|immune|immune|MIF|CD74|MIF	GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune	immune	MIF	CD74	MIF	0.937361	high_pilot_v3	True	True	1						0.890010994
equal_weight	27	GSE283052|GSM8655160_P07|stroma_fibroblast|stroma_fibroblast|MIF|CD74|MIF	GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.937148	high_pilot_v3	True	True	1						0.8897269019999999
equal_weight	28	GSE283052|GSM8655165_P15|stroma_fibroblast|stroma_fibroblast|MIF|CD74|MIF	GSE283052	GSM8655165_P15	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.937041	high_pilot_v3	True	True	1						0.8895848579999999
equal_weight	29	GSE283052|GSM8655163_P11|stroma_fibroblast|stroma_fibroblast|MIF|CD74|MIF	GSE283052	GSM8655163_P11	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.936509	high_pilot_v3	True	True	1						0.8888746300000001
equal_weight	30	GSE292299|GSM8855719_DLBCL_P1|immune|immune|MIF|CD74|MIF	GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune	immune	MIF	CD74	MIF	0.936402	high_pilot_v3	True	True	1						0.8887325839999999
equal_weight	31	GSE292299|GSM8855704_NSCLC_P2|tumor_like|immune|MIF|CD74|MIF	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	immune	MIF	CD74	MIF	0.936154	high_pilot_v3	True	True	0						0.888401146
equal_weight	32	GSE292299|GSM8855704_NSCLC_P2|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.936047	high_pilot_v3	True	True	0						0.8882591
equal_weight	33	GSE283052|GSM8655168_P24|stroma_fibroblast|stroma_fibroblast|MIF|CD74|MIF	GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.936012	high_pilot_v3	True	True	1						0.8882117519999999
equal_weight	34	GSE300445|GSM9060734_AdjIII-0113|tumor_like|tumor_like|COL1A1|ITGA2|ECM-integrin	GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	COL1A1	ITGA2	ECM-integrin	0.934295	high_pilot_v3	True	True	0						0.88812268
equal_weight	35	GSE283052|GSM8655160_P07|stroma_fibroblast|stroma_fibroblast|COL1A1|ITGA2|ECM-integrin	GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.935763	high_pilot_v3	True	True	1						0.8878803120000001
