perturbation_family	expected_direction	scorer	sample_id	replicate	axis_id	steps	expected_steps	fully_monotonic	first_value	last_value
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	2	axis_4	2	1	0	0.6	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	3	axis_1	2	1	0	0.8333333333333333	0.7999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	3	axis_2	2	1	0	0.9333333333333332	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	3	axis_3	2	2	1	0.3333333333333333	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	3	axis_4	2	1	0	0.6	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	4	axis_1	2	1	0	0.7999999999999999	0.5666666666666667
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	4	axis_2	2	1	0	0.8999999999999999	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	4	axis_3	2	2	1	0.5333333333333333	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	4	axis_4	2	1	0	0.5666666666666667	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	5	axis_1	2	1	0	0.8333333333333333	0.7999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	5	axis_2	2	1	0	0.9333333333333332	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	5	axis_3	2	2	1	0.36666666666666664	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780153	5	axis_4	2	1	0	0.6	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	1	axis_1	2	1	0	0.6333333333333333	0.6
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	1	axis_2	2	2	1	0.8666666666666666	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	1	axis_3	2	2	1	0.5333333333333333	0.7333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	1	axis_4	2	1	0	0.7999999999999999	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	2	axis_1	2	1	0	0.6333333333333333	0.5666666666666667
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	2	axis_2	2	2	1	0.8333333333333333	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	2	axis_3	2	2	1	0.5333333333333333	0.7333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	2	axis_4	2	1	0	0.7666666666666666	0.7333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	3	axis_1	2	1	0	0.6333333333333333	0.5666666666666667
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	3	axis_2	2	2	1	0.6666666666666666	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	3	axis_3	2	2	1	0.5333333333333333	0.7333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	3	axis_4	2	1	0	0.7999999999999999	0.7333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	4	axis_1	2	1	0	0.6333333333333333	0.4
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	4	axis_2	2	2	1	0.6666666666666666	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	4	axis_3	2	2	1	0.5333333333333333	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	4	axis_4	2	1	0	0.7999999999999999	0.7333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	5	axis_1	2	1	0	0.6333333333333333	0.5666666666666667
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	5	axis_2	2	2	1	0.8666666666666666	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	5	axis_3	2	2	1	0.5333333333333333	0.5333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780154	5	axis_4	2	1	0	0.7999999999999999	0.7333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	1	axis_1	2	1	0	0.4666666666666667	0.4
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	1	axis_2	2	1	0	0.8999999999999999	0.9666666666666666
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	1	axis_3	2	2	1	0.3333333333333333	0.3333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	1	axis_4	2	1	0	0.39999999999999997	0.5
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	2	axis_1	2	1	0	0.4666666666666667	0.4
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	2	axis_2	2	1	0	0.9333333333333332	0.9666666666666666
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	2	axis_3	2	1	0	0.7333333333333333	0.7
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	2	axis_4	2	1	0	0.39999999999999997	0.3333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	3	axis_1	2	1	0	0.4666666666666667	0.4
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	3	axis_2	2	1	0	0.8999999999999999	0.9999999999999999
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	3	axis_3	2	2	1	0.3333333333333333	0.3333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	3	axis_4	2	1	0	0.39999999999999997	0.3333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	4	axis_1	2	1	0	0.4666666666666667	0.4
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	4	axis_2	2	1	0	0.8999999999999999	0.9666666666666666
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	4	axis_3	2	2	1	0.3333333333333333	0.5
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	4	axis_4	2	1	0	0.39999999999999997	0.3333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	5	axis_1	2	1	0	0.4666666666666667	0.4
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	5	axis_2	2	1	0	0.8999999999999999	0.9666666666666666
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	5	axis_3	2	2	1	0.3333333333333333	0.3333333333333333
spike_strength	nondecreasing	spatiallr_trust	GSM7780155	5	axis_4	2	0	0	0.5666666666666667	0.3333333333333333
coordinate_corruption	nonincreasing	commot	GSM7780153	1	axis_1	4	0	0	337.215159201763	821.0447968193309
coordinate_corruption	nonincreasing	commot	GSM7780153	1	axis_2	4	1	0	0.0	8.226695489608552
coordinate_corruption	nonincreasing	commot	GSM7780153	1	axis_3	4	1	0	3.63938689742845	32.950024119660604
coordinate_corruption	nonincreasing	commot	GSM7780153	1	axis_4	4	2	0	4684.654368189002	5096.220055958854
coordinate_corruption	nonincreasing	commot	GSM7780153	2	axis_1	4	0	0	337.215159201763	667.7611248953262
coordinate_corruption	nonincreasing	commot	GSM7780153	2	axis_2	4	1	0	0.0	6.633625622851534
coordinate_corruption	nonincreasing	commot	GSM7780153	2	axis_3	4	2	0	3.63938689742845	25.41603857013389
coordinate_corruption	nonincreasing	commot	GSM7780153	2	axis_4	4	1	0	4684.654368189002	5103.407616892675
coordinate_corruption	nonincreasing	commot	GSM7780153	3	axis_1	4	0	0	337.215159201763	736.6278218486673
coordinate_corruption	nonincreasing	commot	GSM7780153	3	axis_2	4	3	0	0.0	6.603251698696826
coordinate_corruption	nonincreasing	commot	GSM7780153	3	axis_3	4	1	0	3.63938689742845	24.73674114978599
coordinate_corruption	nonincreasing	commot	GSM7780153	3	axis_4	4	3	0	4684.654368189002	5101.457332751209
coordinate_corruption	nonincreasing	commot	GSM7780153	4	axis_1	4	0	0	337.215159201763	710.8367258082384
coordinate_corruption	nonincreasing	commot	GSM7780153	4	axis_2	4	2	0	0.0	5.091822288363863
coordinate_corruption	nonincreasing	commot	GSM7780153	4	axis_3	4	1	0	3.63938689742845	25.76412382572965
coordinate_corruption	nonincreasing	commot	GSM7780153	4	axis_4	4	3	0	4684.654368189002	5111.8029670455535
coordinate_corruption	nonincreasing	commot	GSM7780153	5	axis_1	4	0	0	337.215159201763	713.4640670696386
coordinate_corruption	nonincreasing	commot	GSM7780153	5	axis_2	4	2	0	0.0	4.5252464812956745
coordinate_corruption	nonincreasing	commot	GSM7780153	5	axis_3	4	0	0	3.63938689742845	21.046231497432128
coordinate_corruption	nonincreasing	commot	GSM7780153	5	axis_4	4	3	0	4684.654368189002	5106.6989806856345
coordinate_corruption	nonincreasing	commot	GSM7780154	1	axis_1	4	0	0	347.6374131392843	898.064262706497
coordinate_corruption	nonincreasing	commot	GSM7780154	1	axis_2	4	3	0	0.0	7.581140324772082
coordinate_corruption	nonincreasing	commot	GSM7780154	1	axis_3	4	0	0	4.335243695542582	42.5206810381838
coordinate_corruption	nonincreasing	commot	GSM7780154	1	axis_4	4	3	0	4538.778105988961	4926.492852893851
coordinate_corruption	nonincreasing	commot	GSM7780154	2	axis_1	4	2	0	347.6374131392843	861.082083760406
coordinate_corruption	nonincreasing	commot	GSM7780154	2	axis_2	4	2	0	0.0	5.257055079292674
coordinate_corruption	nonincreasing	commot	GSM7780154	2	axis_3	4	0	0	4.335243695542582	42.59358539611356
coordinate_corruption	nonincreasing	commot	GSM7780154	2	axis_4	4	3	0	4538.778105988961	4920.303981775006
coordinate_corruption	nonincreasing	commot	GSM7780154	3	axis_1	4	0	0	347.6374131392843	909.2552371676816
coordinate_corruption	nonincreasing	commot	GSM7780154	3	axis_2	4	1	0	0.0	9.85948584919285
coordinate_corruption	nonincreasing	commot	GSM7780154	3	axis_3	4	0	0	4.335243695542582	42.77858821766528
coordinate_corruption	nonincreasing	commot	GSM7780154	3	axis_4	4	3	0	4538.778105988961	4950.292822209371
coordinate_corruption	nonincreasing	commot	GSM7780154	4	axis_1	4	0	0	347.6374131392843	952.5197354694112
coordinate_corruption	nonincreasing	commot	GSM7780154	4	axis_2	4	1	0	0.0	7.968289569130927
coordinate_corruption	nonincreasing	commot	GSM7780154	4	axis_3	4	1	0	4.335243695542582	38.05921564195651
coordinate_corruption	nonincreasing	commot	GSM7780154	4	axis_4	4	3	0	4538.778105988961	4941.055018245195
coordinate_corruption	nonincreasing	commot	GSM7780154	5	axis_1	4	0	0	347.6374131392843	864.6731416713658
coordinate_corruption	nonincreasing	commot	GSM7780154	5	axis_2	4	1	0	0.0	13.065902128256758
coordinate_corruption	nonincreasing	commot	GSM7780154	5	axis_3	4	1	0	4.335243695542582	43.569778849966816
coordinate_corruption	nonincreasing	commot	GSM7780154	5	axis_4	4	3	0	4538.778105988961	4936.645650250458
